0.00.021.964 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.022.363 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.022.938 W srv  llama_server: -----------------
0.00.022.955 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.022.955 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.022.955 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.022.956 W srv  llama_server: -----------------
0.00.024.682 I srv    load_model: loading model '/tmp/codex-model-cache/qwen2.5-3b-instruct-q4_k_m.gguf'
0.00.685.368 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.03.120.927 I cmn          init: llama threadpool init, n_threads = 4
0.03.504.918 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.03.511.502 I srv  llama_server: model loaded
0.03.511.519 I srv  llama_server: listening on http://127.0.0.1:18941
0.04.315.750 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.04.316.273 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.08.709.198 I slot print_timing: id  0 | task 0 | prompt eval time =    3589.33 ms /   157 tokens (   22.86 ms per token,    43.74 tokens per second)
0.08.709.217 I slot print_timing: id  0 | task 0 |        eval time =     803.55 ms /     6 tokens (  160.71 ms per token,     6.22 tokens per second)
0.08.709.218 I slot print_timing: id  0 | task 0 |       total time =    4392.88 ms /   163 tokens
0.08.709.247 I slot print_timing: id  0 | task 0 |    graphs reused =          5
0.08.709.337 I slot      release: id  0 | task 0 | stop processing: n_tokens = 162, truncated = 0
0.08.709.356 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.969
0.08.709.556 I slot launch_slot_: id  0 | task 2 | processing task, is_child = 0
0.08.709.568 W slot   operator(): id  0 | task 2 | need to evaluate at least 1 token for each active slot (n_past = 157, task.n_tokens() = 157)
0.08.709.569 W slot   operator(): id  0 | task 2 | n_past was set to 156
0.09.947.058 I slot print_timing: id  0 | task 2 | prompt eval time =     134.54 ms /     1 tokens (  134.54 ms per token,     7.43 tokens per second)
0.09.947.085 I slot print_timing: id  0 | task 2 |        eval time =    1102.93 ms /     6 tokens (  220.59 ms per token,     4.53 tokens per second)
0.09.947.086 I slot print_timing: id  0 | task 2 |       total time =    1237.47 ms /     7 tokens
0.09.947.087 I slot print_timing: id  0 | task 2 |    graphs reused =         11
0.09.947.209 I slot      release: id  0 | task 2 | stop processing: n_tokens = 162, truncated = 0
0.09.947.235 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.969
0.09.947.404 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
0.09.947.412 W slot   operator(): id  0 | task 3 | need to evaluate at least 1 token for each active slot (n_past = 157, task.n_tokens() = 157)
0.09.947.413 W slot   operator(): id  0 | task 3 | n_past was set to 156
0.10.697.834 I slot print_timing: id  0 | task 3 | prompt eval time =     233.41 ms /     1 tokens (  233.41 ms per token,     4.28 tokens per second)
0.10.697.849 I slot print_timing: id  0 | task 3 |        eval time =     516.97 ms /     6 tokens (  103.39 ms per token,     9.67 tokens per second)
0.10.697.850 I slot print_timing: id  0 | task 3 |       total time =     750.38 ms /     7 tokens
0.10.697.851 I slot print_timing: id  0 | task 3 |    graphs reused =         17
0.10.697.898 I slot      release: id  0 | task 3 | stop processing: n_tokens = 162, truncated = 0
0.10.712.737 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.329 (> 0.100 thold), f_keep = 0.315
